dataset,period,series,id,vendor_or_project,product_or_class,value,note
kev_entry,2021-11-03,exploited_in_wild,CVE-2010-5326,SAP,NetWeaver,1,older CVE; SAP NetWeaver Remote Code Execution Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2012-0158,Microsoft,MSCOMCTL.OCX,1,older CVE; ransomware; Microsoft MSCOMCTL.OCX Remote Code Execution Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2012-3152,Oracle,Fusion Middleware,1,older CVE; Oracle Fusion Middleware Unspecified Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2014-1812,Microsoft,Windows,1,older CVE; ransomware; Microsoft Windows Group Policy Preferences Password Privilege Escalation Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2015-1641,Microsoft,Office,1,older CVE; Microsoft Office Memory Corruption Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2015-4852,Oracle,WebLogic Server,1,older CVE; Oracle WebLogic Server Deserialization of Untrusted Data Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2016-0167,Microsoft,Win32k,1,older CVE; ransomware; Microsoft Win32k Privilege Escalation Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2016-0185,Microsoft,Windows,1,older CVE; Microsoft Windows Media Center Remote Code Execution Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2016-3235,Microsoft,Office,1,older CVE; Microsoft Office OLE DLL Side Loading Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2016-3643,SolarWinds,Virtualization Manager,1,older CVE; SolarWinds Virtualization Manager Privilege Escalation Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2016-3715,ImageMagick,ImageMagick,1,older CVE; ImageMagick Arbitrary File Deletion Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2016-3718,ImageMagick,ImageMagick,1,older CVE; ImageMagick Server-Side Request Forgery (SSRF) Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2016-3976,SAP,NetWeaver,1,older CVE; SAP NetWeaver Directory Traversal Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2016-4437,Apache,Shiro,1,older CVE; Apache Shiro Code Execution Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2016-7255,Microsoft,Win32k,1,older CVE; Microsoft Win32k Privilege Escalation Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2016-9563,SAP,NetWeaver,1,older CVE; SAP NetWeaver XML External Entity (XXE) Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2017-0143,Microsoft,Windows,1,older CVE; ransomware; Microsoft Windows Server Message Block (SMBv1) Remote Code Execution Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2017-0199,Microsoft,Office and WordPad,1,older CVE; ransomware; Microsoft Office and WordPad Remote Code Execution Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2017-11774,Microsoft,Office,1,older CVE; Microsoft Office Outlook Security Feature Bypass Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2017-11882,Microsoft,Office,1,older CVE; ransomware; Microsoft Office Memory Corruption Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2017-16651,Roundcube,Roundcube Webmail,1,older CVE; Roundcube Webmail File Disclosure Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2017-5638,Apache,Struts,1,older CVE; ransomware; Apache Struts Remote Code Execution Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2017-6327,Symantec,Symantec Messaging Gateway,1,older CVE; Symantec Messaging Gateway Remote Code Execution Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2017-7269,Microsoft,Internet Information Services (IIS),1,older CVE; Microsoft Windows Server Buffer Overflow Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2017-8759,Microsoft,.NET Framework,1,older CVE; Microsoft .NET Framework Remote Code Execution Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2017-9248,Progress,ASP.NET AJAX and Sitefinity,1,older CVE; Progress Telerik UI for ASP.NET AJAX and Sitefinity Cryptographic Weakness Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2017-9805,Apache,Struts,1,older CVE; Apache Struts Deserialization of Untrusted Data Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2017-9822,DotNetNuke (DNN),DotNetNuke (DNN),1,older CVE; ransomware; DotNetNuke (DNN) Remote Code Execution Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2018-0171,Cisco,IOS and IOS XE,1,older CVE; Cisco IOS and IOS XE Software Smart Install Remote Code Execution Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2018-0296,Cisco,Adaptive Security Appliance (ASA),1,older CVE; Cisco Adaptive Security Appliance (ASA) Denial-of-Service Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2018-0798,Microsoft,Office,1,older CVE; Microsoft Office Memory Corruption Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2018-0802,Microsoft,Office,1,older CVE; ransomware; Microsoft Office Memory Corruption Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2018-11776,Apache,Struts,1,older CVE; Apache Struts Remote Code Execution Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2018-13379,Fortinet,FortiOS,1,older CVE; ransomware; Fortinet FortiOS SSL VPN Path Traversal Vulnerability
kev_entry,2021-11-03,exploited_in_wild,CVE-2018-14558,Tenda,"AC7, AC9, and AC10 Routers",1,"older CVE; Tenda AC7, AC9, and AC10 Routers Command Injection Vulnerability"
